age,workclass,fnlwgt,educational.num,marital.status,race,gender,capital.gain,capital.loss,hours.per.week,occupation_office,occupation_Prof,occupation_worker,income
29,1,97165,10,0,1,0,0,0,40,1,0,0,0
47,1,104301,7,0,1,0,0,0,45,0,0,0,0
64,0,115931,9,1,1,1,0,0,50,0,0,1,0
21,1,147280,9,0,0,1,0,0,20,0,0,0,0
32,1,185433,10,1,0,0,0,0,40,1,0,0,1
26,1,599057,9,0,0,0,0,0,37,0,1,0,0
62,0,71467,14,1,1,1,0,0,40,0,1,0,0
32,1,183977,13,1,1,1,0,0,55,0,0,1,1
45,0,196858,9,1,1,1,0,0,60,0,1,0,0
31,1,160594,13,1,1,1,0,1887,50,0,1,0,1
32,1,65278,9,1,1,1,2580,0,40,1,0,0,0
24,1,102258,13,1,1,1,0,0,40,1,0,0,0
25,1,196947,13,0,1,0,0,0,40,1,0,0,0
41,0,233150,9,1,1,1,0,0,60,0,1,0,0
18,1,42857,10,0,1,0,0,0,20,1,0,0,0
44,1,118059,16,1,1,1,0,0,55,0,1,0,1
40,1,169262,10,1,1,1,3411,0,50,0,1,0,0
27,1,95108,13,0,1,1,0,0,40,0,1,0,0
23,1,161092,13,0,1,1,0,0,40,1,0,0,0
21,1,345253,10,0,0,1,2174,0,40,1,0,0,0
37,0,111275,9,1,1,1,0,0,40,0,0,1,0
65,0,178878,9,1,1,1,0,0,48,0,0,1,0
43,0,157237,14,1,1,1,0,0,40,0,1,0,1
45,1,155664,9,0,1,1,0,0,44,1,0,0,0
24,0,322658,13,0,1,0,0,0,40,0,1,0,0
24,1,208503,10,0,1,1,0,0,42,0,0,1,0
19,0,223326,10,0,1,1,0,1721,35,1,0,0,0
37,1,20308,13,1,1,1,0,0,65,0,1,0,1
24,1,124751,9,0,1,0,0,0,35,1,0,0,0
50,0,196900,9,1,1,0,0,0,39,0,0,0,0
39,1,205338,13,1,1,1,0,0,60,1,0,0,0
44,0,98806,4,1,1,1,0,0,38,0,0,1,0
45,0,226452,9,1,1,1,0,0,40,0,0,0,0
32,0,479179,7,0,1,1,0,0,40,1,0,0,0
47,0,471990,14,1,0,1,0,0,40,0,1,0,1
50,1,44728,9,1,1,1,0,0,40,0,0,1,0
32,1,33117,11,1,1,1,0,0,40,0,0,0,0
19,1,264876,9,0,1,1,0,0,40,0,0,0,0
28,1,193122,9,0,1,1,0,0,50,1,0,0,0
21,1,129172,10,0,1,1,2907,0,40,0,0,0,0
73,0,151255,10,0,1,0,0,0,75,0,0,1,0
25,1,238673,10,0,1,1,0,0,40,0,0,1,0
31,1,137991,10,1,1,0,0,0,20,1,0,0,0
51,1,85942,10,0,1,0,0,0,32,1,0,0,0
39,1,85783,13,1,1,0,0,0,28,1,0,0,0
31,1,174789,13,0,1,1,0,0,40,0,0,0,0
21,1,457162,10,0,0,1,0,0,17,1,0,0,0
46,1,176026,13,0,1,1,27828,0,50,0,1,0,1
73,1,88594,9,0,1,0,0,0,35,0,1,0,0
41,1,311101,9,0,1,1,0,0,40,0,0,1,0
20,1,273989,9,0,1,1,0,0,40,0,0,1,0
27,1,370242,12,0,1,1,0,0,30,0,0,0,0
24,1,194630,13,0,1,1,0,0,35,0,1,0,0
20,1,313817,10,1,1,1,0,0,40,0,0,1,0
39,1,195843,11,0,1,1,0,0,40,0,0,1,0
27,1,203160,13,0,1,1,0,0,28,0,0,0,0
33,1,175856,7,1,1,1,0,0,60,1,0,0,0
33,1,75435,9,1,0,1,0,0,40,0,0,0,0
36,0,291676,5,1,0,1,0,0,40,0,0,1,0
55,1,192869,10,1,1,1,0,0,36,0,1,0,0
19,1,124464,10,0,1,1,0,0,40,0,0,1,0
35,1,98776,9,0,1,1,0,0,60,0,1,0,0
62,0,312286,15,0,1,0,0,0,35,0,1,0,0
33,0,48520,10,1,1,1,0,0,40,0,0,1,1
36,0,237713,10,1,1,1,0,0,40,1,0,0,0
41,1,309990,13,0,1,0,0,0,33,1,0,0,0
39,0,37019,9,1,1,1,0,0,60,0,0,1,0
18,1,170183,9,0,1,0,0,0,10,1,0,0,0
61,1,142988,10,1,1,1,15024,0,45,0,1,0,1
20,0,163205,11,0,1,0,0,0,36,1,0,0,0
35,0,455379,9,1,1,1,0,0,65,0,0,1,1
27,1,104423,9,0,1,1,0,0,40,0,0,1,0
66,1,104936,6,0,1,0,0,0,38,0,0,0,0
21,1,542610,9,0,0,1,0,0,40,0,0,1,0
20,1,208117,10,0,1,0,0,0,18,0,0,0,0
34,1,105141,10,0,1,1,0,0,40,1,0,0,0
31,1,213339,9,0,1,0,0,0,40,1,0,0,0
41,1,177989,16,1,1,1,0,2051,60,0,1,0,0
32,1,312403,13,0,1,0,0,0,40,0,1,0,0
30,0,176992,9,1,1,1,0,0,50,0,0,1,1
36,0,84294,13,1,1,1,0,0,72,0,0,1,0
22,1,143062,10,0,1,1,0,0,12,0,0,1,0
53,0,139671,10,1,1,1,0,0,50,0,1,0,0
50,1,116814,9,0,0,0,0,0,40,1,0,0,0
36,1,37778,13,1,1,1,0,0,40,0,1,0,0
41,0,240900,7,1,1,1,0,0,40,0,1,0,0
55,1,202652,13,0,1,0,0,0,35,0,1,0,0
38,1,52187,13,1,1,1,15024,0,50,1,0,0,1
28,1,349751,13,0,0,1,2174,0,50,0,1,0,0
24,0,238384,13,0,1,0,0,0,37,0,1,0,0
60,1,209844,10,0,1,0,0,0,40,1,0,0,0
54,1,333301,6,1,0,1,0,0,40,0,0,0,0
27,0,214974,9,1,1,1,0,0,60,0,0,1,0
30,1,113453,14,1,1,0,0,0,30,0,1,0,0
54,1,162238,9,0,1,1,0,0,45,0,0,1,0
44,1,98779,10,1,1,1,5178,0,40,0,0,1,1
52,1,165001,9,1,1,1,0,0,60,0,0,1,1
18,1,78528,7,0,1,1,0,0,20,0,0,0,0
55,1,353881,4,1,1,1,0,0,50,0,0,1,0
35,1,251396,13,1,1,1,0,0,50,0,1,0,1
37,1,178100,13,0,1,0,0,0,40,0,1,0,1
22,1,416165,10,0,1,0,0,0,40,1,0,0,0
38,1,203717,13,1,1,1,0,0,60,0,0,1,0
48,1,107231,13,1,1,1,0,0,40,0,1,0,0
35,1,106448,11,1,1,1,0,0,40,0,0,0,0
21,1,196816,11,1,1,1,0,0,50,0,0,1,0
18,1,170194,7,0,1,1,0,0,25,1,0,0,0
26,1,113587,6,0,1,1,0,0,35,0,0,1,0
48,0,72425,13,1,1,1,0,0,50,0,0,1,0
51,1,217480,10,0,0,1,8614,0,40,1,0,0,1
52,1,120914,10,1,1,1,0,0,40,0,0,1,0
